"Code","location","jobs","ESA_Code","title","abb","year"
"0","ACT/Queanbeyan",1,"1","Total ","Totl",2013
"0","Canterbury/Bankstown",1,"2","Total ","Totl",2013
"0","Central Coast",1,"3","Total ","Totl",2013
"0","Central Western Sydney",1,"4","Total ","Totl",2013
"0","Chifley",1,"5","Total ","Totl",2013
"0","Clarence",1,"6","Total ","Totl",2013
"0","Coffs Harbour",1,"7","Total ","Totl",2013
"0","Eastern Suburbs",1,"8","Total ","Totl",2013
"0","Eurobodalla",1,"9","Total ","Totl",2013
"0","Fairfield",1,"10","Total ","Totl",2013
"0","Far West",1,"11","Total ","Totl",2013
"0","Gwydir Namoi",1,"12","Total ","Totl",2013
"0","Hastings",1,"13","Total ","Totl",2013
"0","Hunter",1,"14","Total ","Totl",2013
"0","Inner Sydney",1,"15","Total ","Totl",2013
"0","Inner Western Sydney",1,"16","Total ","Totl",2013
"0","Keepit",1,"17","Total ","Totl",2013
"0","Lachlan",1,"18","Total ","Totl",2013
"0","Liverpool",1,"19","Total ","Totl",2013
"0","Lower Hunter",1,"20","Total ","Totl",2013
"0","Lower South Coast",1,"21","Total ","Totl",2013
"0","Macarthur",1,"22","Total ","Totl",2013
"0","Macleay",1,"23","Total ","Totl",2013
"0","Manning",1,"24","Total ","Totl",2013
"0","Murray Darling",1,"25","Total ","Totl",2013
"0","Nepean",1,"26","Total ","Totl",2013
"0","New England",1,"27","Total ","Totl",2013
"0","North Coast",1,"28","Total ","Totl",2013
"0","Northern Sydney",1,"29","Total ","Totl",2013
"0","Orana",1,"30","Total ","Totl",2013
"0","Outer Western Sydney",1,"31","Total ","Totl",2013
"0","Oxley",1,"32","Total ","Totl",2013
"0","Patterson",1,"33","Total ","Totl",2013
"0","Richmond",1,"34","Total ","Totl",2013
"0","Shoalhaven",1,"35","Total ","Totl",2013
"0","South Eastern",1,"36","Total ","Totl",2013
"0","Southern Ranges",1,"37","Total ","Totl",2013
"0","St George-Sutherland",1,"38","Total ","Totl",2013
"0","Sturt",1,"39","Total ","Totl",2013
"0","Tweed",1,"40","Total ","Totl",2013
"0","Upper Hunter",1,"41","Total ","Totl",2013
"0","Windamere",1,"42","Total ","Totl",2013
"0","Wollongong",1,"43","Total ","Totl",2013
"0","Bayside",1,"44","Total ","Totl",2013
"0","Bendigo",1,"45","Total ","Totl",2013
"0","Calder",1,"46","Total ","Totl",2013
"0","East Gippsland",1,"47","Total ","Totl",2013
"0","Eureka",1,"48","Total ","Totl",2013
"0","Geelong",1,"49","Total ","Totl",2013
"0","Goulburn Valley",1,"50","Total ","Totl",2013
"0","Grampians",1,"51","Total ","Totl",2013
"0","Hampden",1,"52","Total ","Totl",2013
"0","Kiewa",1,"53","Total ","Totl",2013
"0","Latrobe Valley",1,"54","Total ","Totl",2013
"0","Maroondah",1,"55","Total ","Totl",2013
"0","Mid Murray",1,"56","Total ","Totl",2013
"0","Monash",1,"57","Total ","Totl",2013
"0","Ovens",1,"58","Total ","Totl",2013
"0","Peninsula",1,"59","Total ","Totl",2013
"0","Plenty",1,"60","Total ","Totl",2013
"0","Sunraysia",1,"61","Total ","Totl",2013
"0","Western District",1,"62","Total ","Totl",2013
"0","Westgate",1,"63","Total ","Totl",2013
"0","Yarra",1,"64","Total ","Totl",2013
"0","Bundaberg",1,"65","Total ","Totl",2013
"0","Cairns",1,"66","Total ","Totl",2013
"0","Capricornia",1,"67","Total ","Totl",2013
