"Code","location","jobs","ESA_Code","title","abb"
"0","ACT/Queanbeyan",109,1,"Total ","Totl"
"0","Canterbury/Bankstown",170,2,"Total ","Totl"
"0","Central Coast",242,3,"Total ","Totl"
"0","Central Western Sydney",469,4,"Total ","Totl"
"0","Chifley",127,5,"Total ","Totl"
"0","Clarence",122,6,"Total ","Totl"
"0","Coffs Harbour",81,7,"Total ","Totl"
"0","Eastern Suburbs",130,8,"Total ","Totl"
"0","Eurobodalla",83,9,"Total ","Totl"
"0","Fairfield",196,10,"Total ","Totl"
"0","Far West",49,11,"Total ","Totl"
"0","Gwydir Namoi",93,12,"Total ","Totl"
"0","Hastings",54,13,"Total ","Totl"
"0","Hunter",199,14,"Total ","Totl"
"0","Inner Sydney",665,15,"Total ","Totl"
"0","Inner Western Sydney",107,16,"Total ","Totl"
"0","Keepit",46,17,"Total ","Totl"
"0","Lachlan",28,18,"Total ","Totl"
"0","Liverpool",206,19,"Total ","Totl"
"0","Lower Hunter",550,20,"Total ","Totl"
"0","Lower South Coast",29,21,"Total ","Totl"
"0","Macarthur",208,22,"Total ","Totl"
"0","Macleay",37,23,"Total ","Totl"
"0","Manning",106,24,"Total ","Totl"
"0","Murray Darling",11,25,"Total ","Totl"
"0","Nepean",211,26,"Total ","Totl"
"0","New England",161,27,"Total ","Totl"
"0","North Coast",154,28,"Total ","Totl"
"0","Northern Sydney",417,29,"Total ","Totl"
"0","Orana",364,30,"Total ","Totl"
"0","Outer Western Sydney",166,31,"Total ","Totl"
"0","Patterson",93,33,"Total ","Totl"
"0","Richmond",67,34,"Total ","Totl"
"0","Shoalhaven",138,35,"Total ","Totl"
"0","South Eastern",149,36,"Total ","Totl"
"0","Southern Ranges",74,37,"Total ","Totl"
"0","St George-Sutherland",161,38,"Total ","Totl"
"0","Sturt",73,39,"Total ","Totl"
"0","Tweed",90,40,"Total ","Totl"
"0","Upper Hunter",252,41,"Total ","Totl"
"0","Windamere",46,42,"Total ","Totl"
"0","Wollongong",138,43,"Total ","Totl"
"0","Bayside",509,44,"Total ","Totl"
"0","Bendigo",72,45,"Total ","Totl"
"0","Calder",310,46,"Total ","Totl"
"0","East Gippsland",30,47,"Total ","Totl"
"0","Eureka",21,48,"Total ","Totl"
"0","Geelong",34,49,"Total ","Totl"
"0","Goulburn Valley",112,50,"Total ","Totl"
"0","Grampians",11,51,"Total ","Totl"
"0","Hampden",14,52,"Total ","Totl"
"0","Kiewa",14,53,"Total ","Totl"
"0","Latrobe Valley",76,54,"Total ","Totl"
"0","Maroondah",318,55,"Total ","Totl"
"0","Mid Murray",17,56,"Total ","Totl"
"0","Monash",94,57,"Total ","Totl"
"0","Ovens",50,58,"Total ","Totl"
"0","Peninsula",235,59,"Total ","Totl"
"0","Plenty",114,60,"Total ","Totl"
"0","Sunraysia",17,61,"Total ","Totl"
"0","Western District",32,62,"Total ","Totl"
